event_id,event_year,structure_type,material,location,corrosion_environment,age_at_event_years,corrosion_rate_mm_yr,failure_mode,severity,replacement_value_USD,repair_cost_USD,loss_ratio,detected_by,was_predicted,warning_lead_months,insurance_claim_filed,regulatory_action,severity_num,severity_loss_score,repair_impact_score,failure_cost_ratio,prediction_gap,failure_risk_score
FE-00019,2022,Pipeline,Steel (A588 Weathering),Coastal Texas,Severe,57,0.0643,Buckling,Minor,8879237.0,487798.0,0.0549,Routine inspection,0,0,0,0,1,0.0549,26780.1102,0.05493692757609691,1.0,0.0643
FE-00020,2018,Building,Prestressed Concrete,Coastal Texas,Severe,45,0.0923,Corrosion,Moderate,8859573.0,1077631.0,0.1216,Sensor alert,0,0,1,0,2,0.2432,131039.9296,0.12163464311429005,2.0,0.1846
FE-00021,2022,Pipeline,Steel (A588 Weathering),Industrial Ohio,Moderate,38,0.0286,Overload,Minor,7287924.0,320407.0,0.044,Routine inspection,0,0,1,0,1,0.044,14097.908,0.04396409732044407,1.0,0.0286
FE-00022,2020,Bridge,Prestressed Concrete,Coastal Florida,Severe,67,0.1335,Brittle fracture,Minor,10020892.0,638809.0,0.0637,Routine inspection,0,0,1,0,1,0.0637,40692.1333,0.06374771826699659,1.0,0.1335
FE-00023,2018,Pipeline,Steel (A36),Rural Midwest,Mild,42,0.0433,Corrosion,Moderate,650029.0,167870.0,0.2582,Public report,0,0,0,0,2,0.5164,43344.034,0.2582500165377237,2.0,0.0866
FE-00024,2017,Bridge,Reinforced Concrete,Coastal Texas,Severe,73,0.0818,Fatigue crack,Moderate,405805.0,59721.0,0.1472,Routine inspection,1,20,1,0,2,0.2944,8790.931199999999,0.14716674264733062,0.09523809523809523,0.1636
FE-00025,2017,Bridge,Reinforced Concrete,Rural South,Mild,50,0.0463,Corrosion,Minor,2101163.0,56621.0,0.0269,Routine inspection,0,0,1,0,1,0.0269,1523.1049,0.026947457193944497,1.0,0.0463
FE-00026,2009,Bridge,Steel (A36),Rural South,Mild,34,0.0222,Corrosion,Moderate,372395.0,95528.0,0.2565,Routine inspection,1,23,1,0,2,0.513,24502.932,0.25652331529692934,0.08333333333333333,0.0444
FE-00027,2021,Pipeline,Reinforced Concrete,Urban West,Mild,26,0.0249,Buckling,Catastrophic,421868.0,307232.0,0.7283,Emergency,0,0,1,0,4,2.9132,223757.06559999997,0.728265713445912,4.0,0.0996
FE-00028,2010,Bridge,Prestressed Concrete,Pacific Northwest,Mild,79,0.0411,Overload,Moderate,2312369.0,518647.0,0.2243,Routine inspection,0,0,1,0,2,0.4486,116332.5221,0.2242924896502245,2.0,0.0822
FE-00029,2005,Bridge,Steel (A514 HY),Coastal Carolina,Severe,52,0.0832,Corrosion,Minor,1997478.0,60619.0,0.0303,Sensor alert,0,0,1,0,1,0.0303,1836.7557,0.030347768536124052,1.0,0.0832
FE-00030,2022,Pipeline,Steel (A514 HY),Coastal California,Moderate,57,0.0672,Brittle fracture,Moderate,1570922.0,443154.0,0.2821,Routine inspection,1,9,1,0,2,0.5642,125013.7434,0.28209802905554826,0.2,0.1344
FE-00031,2022,Bridge,Reinforced Concrete,Industrial Michigan,Moderate,49,0.0696,Corrosion,Minor,648769.0,23031.0,0.0355,Routine inspection,0,0,1,0,1,0.0355,817.6004999999999,0.03549953835648744,1.0,0.0696
FE-00032,2009,Power Plant,Reinforced Concrete,Rural Midwest,Mild,40,0.0172,Corrosion,Moderate,658775.0,153468.0,0.233,Emergency,0,0,1,0,2,0.466,35758.044,0.23295965997495352,2.0,0.0344
FE-00033,2014,Pipeline,Aluminium Alloy,Coastal Texas,Severe,59,0.0465,Brittle fracture,Moderate,460674.0,100718.0,0.2186,Routine inspection,1,25,1,0,2,0.4372,22016.9548,0.21863183075233245,0.07692307692307693,0.093
FE-00034,2019,Bridge,Prestressed Concrete,Coastal California,Moderate,64,0.0546,Fatigue crack,Minor,837966.0,60962.0,0.0727,Public report,0,0,0,0,1,0.0727,4431.9374,0.07274996837580522,1.0,0.0546
FE-00035,2014,Bridge,Prestressed Concrete,Industrial Ohio,Moderate,29,0.0649,Fatigue crack,Minor,9279060.0,339236.0,0.0366,Sensor alert,0,0,0,0,1,0.0366,12416.0376,0.036559306653906755,1.0,0.0649
FE-00036,2017,Pipeline,Composite Steel-Concrete,Coastal Florida,Severe,54,0.0766,Corrosion,Major,2340747.0,666625.0,0.2848,Emergency,0,0,0,1,3,0.8544,189854.8,0.2847915644023041,3.0,0.2298
FE-00037,2022,Building,Steel (A36),Coastal Texas,Severe,23,0.1309,Brittle fracture,Minor,2221342.0,164455.0,0.074,Sensor alert,0,0,1,0,1,0.074,12169.67,0.07403407489706673,1.0,0.1309
FE-00038,2016,Bridge,Steel (A36),Desert Southwest,Mild,28,0.0241,Overload,Minor,1939438.0,84838.0,0.0437,Public report,0,0,0,0,1,0.0437,3707.4206000000004,0.043743599950088634,1.0,0.0241
FE-00039,2017,Building,Cast Iron,Rural Mountain,Mild,17,0.0184,Fatigue crack,Catastrophic,670753.0,912338.0,1.3602,Routine inspection,0,0,1,1,4,5.4408,1240962.1476,1.360169838972021,4.0,0.0736
FE-00040,2008,Pipeline,Prestressed Concrete,Coastal California,Moderate,53,0.0562,Overload,Moderate,2493762.0,365263.0,0.1465,Routine inspection,1,25,1,0,2,0.293,53511.0295,0.14647067362482868,0.07692307692307693,0.1124
FE-00041,2009,Building,Prestressed Concrete,Urban Midwest,Moderate,40,0.0293,Brittle fracture,Minor,1806931.0,100797.0,0.0558,Routine inspection,0,0,1,0,1,0.0558,5624.4726,0.05578353572991996,1.0,0.0293
FE-00042,2021,Bridge,Steel (A36),Urban West,Mild,62,0.0562,Overload,Minor,1972727.0,146031.0,0.074,Sensor alert,1,42,0,0,1,0.074,10806.294,0.07402494110943886,0.023255813953488372,0.0562
FE-00043,2023,Bridge,Steel (A514 HY),Industrial Ohio,Moderate,27,0.0824,Corrosion,Major,571322.0,177157.0,0.3101,Emergency,1,29,0,1,3,0.9302999999999999,54936.3857,0.3100825804012448,0.1,0.2472
FE-00044,2019,Bridge,Prestressed Concrete,Coastal Carolina,Severe,55,0.1105,Corrosion,Major,849312.0,357250.0,0.4206,Emergency,0,0,0,0,3,1.2618,150259.34999999998,0.4206345842281753,3.0,0.3315
FE-00045,2008,Power Plant,Prestressed Concrete,Rural Mountain,Mild,31,0.0142,Creep,Moderate,2806274.0,562710.0,0.2005,Routine inspection,1,52,1,0,2,0.401,112823.35500000001,0.20051855235803773,0.03773584905660377,0.0284
FE-00046,2019,Building,Prestressed Concrete,Urban West,Mild,62,0.0308,Overload,Major,365029.0,198032.0,0.5425,Routine inspection,0,0,1,0,3,1.6275,107432.36,0.5425103210977757,3.0,0.09240000000000001
FE-00047,2021,Building,Prestressed Concrete,Rural Mountain,Mild,40,0.0131,Fatigue crack,Major,2485214.0,673364.0,0.2709,Routine inspection,1,13,0,0,3,0.8127,182414.30759999997,0.27094809541552556,0.21428571428571427,0.0393
FE-00048,2020,Bridge,Reinforced Concrete,Pacific Northwest,Mild,75,0.0477,Creep,Major,191938.0,137824.0,0.7181,Public report,0,0,1,1,3,2.1543,98971.4144,0.7180652085569298,3.0,0.1431
FE-00049,2007,Building,Composite Steel-Concrete,Coastal Texas,Severe,25,0.1235,Brittle fracture,Minor,362304.0,24711.0,0.0682,Routine inspection,0,0,1,0,1,0.0682,1685.2902,0.06820515368309486,1.0,0.1235
FE-00050,2016,Pipeline,Steel (A588 Weathering),Urban West,Mild,66,0.0266,Corrosion,Catastrophic,597449.0,451275.0,0.7553,Public report,1,1,1,1,4,3.0212,340848.0075,0.7553364387587894,2.0,0.1064
FE-00051,2020,Bridge,Timber,Industrial New Jersey,Moderate,41,0.0577,Brittle fracture,Minor,402730.0,21426.0,0.0532,Load test,0,0,1,0,1,0.0532,1139.8632,0.053201897052615896,1.0,0.0577
FE-00052,2023,Power Plant,Steel (A36),Industrial Ohio,Moderate,79,0.0875,Fatigue crack,Moderate,3632202.0,375377.0,0.1033,Sensor alert,0,0,1,0,2,0.2066,38776.4441,0.1033469504174052,2.0,0.175
FE-00053,2011,Bridge,Reinforced Concrete,Coastal California,Moderate,48,0.0535,Erosion,Catastrophic,1938203.0,1843015.0,0.9509,Emergency,1,11,1,1,4,3.8036,1752522.9634999998,0.9508885292201075,0.3333333333333333,0.214
FE-00054,2006,Building,Steel (A36),Urban Midwest,Moderate,58,0.0571,Fatigue crack,Catastrophic,713534.0,779041.0,1.0918,Public report,0,0,0,1,4,4.3672,850556.9638,1.091806417073328,4.0,0.2284
FE-00055,2008,Bridge,Steel (A36),Rural South,Mild,57,0.0434,Corrosion,Minor,3507712.0,102572.0,0.0292,Sensor alert,0,0,0,0,1,0.0292,2995.1024,0.02924185337906875,1.0,0.0434
FE-00056,2014,Bridge,Prestressed Concrete,Urban Midwest,Moderate,49,0.0276,Overload,Major,1197257.0,478102.0,0.3993,Emergency,0,0,1,1,3,1.1979,190906.1286,0.39933113775906093,3.0,0.0828
FE-00057,2016,Bridge,Timber,Pacific Northwest,Mild,49,0.0265,Fatigue crack,Moderate,9322112.0,1756948.0,0.1885,Routine inspection,0,0,1,0,2,0.377,331184.698,0.18847102459185214,2.0,0.053
FE-00058,2010,Bridge,Steel (A36),Urban West,Mild,20,0.0562,Overload,Moderate,761754.0,132284.0,0.1737,Routine inspection,0,0,1,0,2,0.3474,22977.730799999998,0.17365711240111636,2.0,0.1124
FE-00059,2008,Bridge,Reinforced Concrete,Industrial Ohio,Moderate,48,0.0571,Brittle fracture,Major,641318.0,431065.0,0.6722,Public report,0,0,1,0,3,2.0166,289761.893,0.6721548436189223,3.0,0.1713
FE-00060,2017,Bridge,Steel (A588 Weathering),Industrial Ohio,Moderate,26,0.0339,Buckling,Moderate,522000.0,132636.0,0.2541,Load test,0,0,1,0,2,0.5082,33702.8076,0.2540919540229885,2.0,0.0678
FE-00061,2018,Pipeline,Reinforced Concrete,Urban Northeast,Moderate,21,0.074,Fatigue crack,Major,568269.0,350362.0,0.6165,Routine inspection,1,7,0,1,3,1.8495000000000001,215998.173,0.6165425177160816,0.375,0.22199999999999998
FE-00062,2023,Bridge,Reinforced Concrete,Desert Southwest,Mild,48,0.0296,Fatigue crack,Moderate,968838.0,152712.0,0.1576,Routine inspection,1,6,1,0,2,0.3152,24067.4112,0.15762387519894966,0.2857142857142857,0.0592
FE-00063,2009,Bridge,Reinforced Concrete,Urban Midwest,Moderate,51,0.0467,Settlement,Moderate,3682651.0,812604.0,0.2207,Sensor alert,0,0,1,0,2,0.4414,179341.7028,0.22065734711217544,2.0,0.0934
FE-00064,2009,Bridge,Reinforced Concrete,Rural Mountain,Mild,49,0.0209,Corrosion,Moderate,538766.0,93065.0,0.1727,Routine inspection,1,71,1,0,2,0.3454,16072.325499999999,0.17273732937861705,0.027777777777777776,0.0418
FE-00065,2005,Bridge,Prestressed Concrete,Rural Mountain,Mild,55,0.0102,Fatigue crack,Minor,707842.0,32707.0,0.0462,Routine inspection,0,0,0,0,1,0.0462,1511.0634,0.0462066393347668,1.0,0.0102
FE-00066,2022,Bridge,Steel (A36),Pacific Northwest,Mild,32,0.0266,Fatigue crack,Moderate,3726461.0,471032.0,0.1264,Sensor alert,1,46,1,0,2,0.2528,59538.444800000005,0.12640196690640262,0.0425531914893617,0.0532
FE-00067,2008,Bridge,Steel (A36),Industrial Michigan,Moderate,44,0.0613,Fatigue crack,Minor,3026580.0,103216.0,0.0341,Public report,0,0,1,0,1,0.0341,3519.6656,0.03410317916592325,1.0,0.0613
FE-00068,2015,Power Plant,Steel (A36),Industrial New Jersey,Moderate,44,0.0514,Buckling,Moderate,4196800.0,505914.0,0.1205,Emergency,1,7,1,0,2,0.241,60962.636999999995,0.12054756004574914,0.25,0.1028
FE-00069,2021,Power Plant,Steel (A588 Weathering),Coastal Carolina,Severe,26,0.0574,Fatigue crack,Catastrophic,3004848.0,4137287.0,1.3769,Emergency,0,0,1,0,4,5.5076,5696630.4703,1.376870643706437,4.0,0.2296
FE-00070,2017,Pipeline,Prestressed Concrete,Rural Mountain,Mild,42,0.0277,Brittle fracture,Moderate,1483799.0,275957.0,0.186,Sensor alert,0,0,1,0,2,0.372,51328.002,0.18598004177115635,2.0,0.0554
FE-00071,2007,Bridge,Steel (A588 Weathering),Coastal Carolina,Severe,43,0.025,Erosion,Minor,1468365.0,70261.0,0.0478,Routine inspection,1,1,1,0,1,0.0478,3358.4758,0.047849819356903765,0.5,0.025
FE-00072,2017,Power Plant,Steel (A36),Desert Southwest,Mild,38,0.0211,Fatigue crack,Moderate,6580933.0,957669.0,0.1455,Load test,0,0,0,0,2,0.291,139340.8395,0.14552176720231005,2.0,0.0422
FE-00073,2019,Bridge,Steel (A36),Coastal Carolina,Severe,36,0.0802,Fatigue crack,Moderate,1274104.0,230573.0,0.181,Sensor alert,1,29,1,0,2,0.362,41733.712999999996,0.1809687435248614,0.06666666666666667,0.1604
FE-00074,2021,Pipeline,Steel (A36),Urban Northeast,Moderate,40,0.0434,Fatigue crack,Major,85761.0,43799.0,0.5107,Routine inspection,0,0,0,0,3,1.5321000000000002,22368.1493,0.5107099963853033,3.0,0.1302
FE-00075,2014,Bridge,Prestressed Concrete,Rural Mountain,Mild,58,0.0275,Fatigue crack,Catastrophic,154010.0,204060.0,1.325,Sensor alert,1,8,1,1,4,5.3,270379.5,1.32497889747419,0.4444444444444444,0.11
FE-00076,2021,Building,Reinforced Concrete,Rural Midwest,Mild,35,0.0172,Overload,Minor,3716249.0,192871.0,0.0519,Sensor alert,0,0,1,0,1,0.0519,10010.0049,0.05189937488042378,1.0,0.0172
FE-00077,2021,Power Plant,Steel (A36),Coastal Texas,Severe,47,0.0599,Fatigue crack,Minor,173083.0,10651.0,0.0615,Routine inspection,0,0,1,0,1,0.0615,655.0365,0.061536950480405354,1.0,0.0599
FE-00078,2020,Building,Prestressed Concrete,Urban Midwest,Moderate,33,0.0287,Buckling,Minor,8838142.0,284183.0,0.0322,Emergency,1,10,1,0,1,0.0322,9150.6926,0.032154156382642414,0.09090909090909091,0.0287
FE-00079,2007,Bridge,Steel (A588 Weathering),Desert Southwest,Mild,83,0.007,Brittle fracture,Catastrophic,2074135.0,1974786.0,0.9521,Routine inspection,1,4,1,1,4,3.8084,1880193.7506,0.9521009963189474,0.8,0.028
FE-00080,2009,Building,Steel (A36),Urban West,Mild,66,0.06,Corrosion,Major,321927.0,187887.0,0.5836,Emergency,0,0,0,1,3,1.7508,109650.8532,0.5836323141581787,3.0,0.18
FE-00081,2022,Bridge,Cast Iron,Industrial Michigan,Moderate,47,0.0877,Brittle fracture,Major,3980978.0,2078875.0,0.5222,Sensor alert,0,0,1,0,3,1.5666,1085588.525,0.5222020820009555,3.0,0.2631
FE-00082,2011,Pipeline,Composite Steel-Concrete,Pacific Northwest,Mild,47,0.0588,Buckling,Major,1286254.0,383794.0,0.2984,Emergency,0,0,1,1,3,0.8952,114524.1296,0.29838119065130214,3.0,0.1764
FE-00083,2016,Bridge,Prestressed Concrete,Industrial Michigan,Moderate,30,0.0683,Brittle fracture,Minor,1636135.0,103662.0,0.0634,Routine inspection,0,0,1,0,1,0.0634,6572.1708,0.06335785249994652,1.0,0.0683
FE-00084,2009,Pipeline,Prestressed Concrete,Coastal Florida,Severe,41,0.062,Fatigue crack,Moderate,396246.0,102349.0,0.2583,Routine inspection,1,11,1,0,2,0.5166,26436.746699999996,0.2582966137197599,0.16666666666666666,0.124
FE-00085,2017,Bridge,Timber,Industrial Michigan,Moderate,65,0.088,Corrosion,Minor,3096040.0,144151.0,0.0466,Routine inspection,1,21,1,0,1,0.0466,6717.4366,0.04655979896900557,0.045454545454545456,0.088
FE-00086,2013,Pipeline,Prestressed Concrete,Urban Northeast,Moderate,39,0.0709,Erosion,Catastrophic,1143229.0,964004.0,0.8432,Routine inspection,1,0,1,1,4,3.3728,812848.1728,0.8432291343204205,4.0,0.2836
FE-00087,2021,Pipeline,Composite Steel-Concrete,Rural South,Mild,21,0.0518,Overload,Moderate,488691.0,75811.0,0.1551,Sensor alert,0,0,1,0,2,0.3102,11758.2861,0.15513074724109918,2.0,0.1036
FE-00088,2011,Bridge,Steel (A588 Weathering),Coastal Carolina,Severe,61,0.0214,Fatigue crack,Catastrophic,624557.0,513362.0,0.822,Public report,0,0,0,1,4,3.288,421983.56399999995,0.8219618065284674,4.0,0.0856
FE-00089,2017,Power Plant,Prestressed Concrete,Industrial Michigan,Moderate,14,0.0822,Corrosion,Moderate,1573711.0,250987.0,0.1595,Routine inspection,0,0,0,0,2,0.319,40032.4265,0.1594873518708327,2.0,0.1644
FE-00090,2015,Bridge,Cast Iron,Urban West,Mild,49,0.0467,Corrosion,Major,3583624.0,1700274.0,0.4745,Routine inspection,1,5,1,1,3,1.4235,806780.0129999999,0.47445658361479887,0.5,0.1401
FE-00091,2009,Power Plant,Steel (A514 HY),Coastal California,Moderate,40,0.0416,Corrosion,Major,992707.0,670659.0,0.6756,Sensor alert,1,8,1,1,3,2.0267999999999997,453097.2204,0.6755860490557637,0.3333333333333333,0.1248
FE-00092,2005,Bridge,Steel (A36),Coastal Carolina,Severe,81,0.0459,Corrosion,Major,1411241.0,391485.0,0.2774,Routine inspection,1,5,1,1,3,0.8321999999999999,108597.939,0.2774047806150757,0.5,0.13770000000000002
FE-00093,2022,Pipeline,Prestressed Concrete,Urban Midwest,Moderate,35,0.0402,Erosion,Minor,294821.0,15112.0,0.0513,Routine inspection,0,0,1,0,1,0.0513,775.2456,0.05125822109008517,1.0,0.0402
FE-00094,2012,Pipeline,Reinforced Concrete,Urban Midwest,Moderate,68,0.0555,Fatigue crack,Moderate,6785639.0,1495433.0,0.2204,Routine inspection,0,0,1,0,2,0.4408,329593.4332,0.2203820450807949,2.0,0.111
FE-00095,2010,Bridge,Reinforced Concrete,Desert Southwest,Mild,59,0.0249,Corrosion,Catastrophic,2961612.0,2578245.0,0.8706,Routine inspection,1,9,1,1,4,3.4824,2244620.097,0.8705546168775653,0.4,0.0996
FE-00096,2009,Power Plant,Timber,Coastal Florida,Severe,52,0.1347,Settlement,Minor,298300.0,15922.0,0.0534,Emergency,0,0,0,0,1,0.0534,850.2348000000001,0.05337579617834395,1.0,0.1347
FE-00097,2019,Building,FRP Composite,Urban West,Mild,48,0.0315,Settlement,Minor,456901.0,13169.0,0.0288,Emergency,0,0,1,0,1,0.0288,379.2672,0.028822436370242132,1.0,0.0315
FE-00098,2009,Bridge,Stainless Steel 316L,Rural South,Mild,72,0.0048,Corrosion,Catastrophic,8363491.0,10219820.0,1.222,Load test,0,0,0,1,4,4.888,12488620.04,1.221956238130704,4.0,0.0192
FE-00099,2013,Bridge,Prestressed Concrete,Coastal Carolina,Severe,17,0.0441,Corrosion,Major,4092383.0,1511098.0,0.3692,Sensor alert,0,0,0,0,3,1.1076,557897.3816,0.3692464757086519,3.0,0.1323
FE-00100,2023,Bridge,Steel (A514 HY),Desert Southwest,Mild,51,0.0273,Overload,Major,2357151.0,1220860.0,0.5179,Routine inspection,1,28,0,0,3,1.5537,632283.3940000001,0.5179388168174207,0.10344827586206896,0.0819
FE-00101,2013,Bridge,Steel (A36),Coastal Florida,Severe,38,0.107,Corrosion,Moderate,655154.0,85425.0,0.1304,Emergency,0,0,0,0,2,0.2608,11139.419999999998,0.13038919093831375,2.0,0.214
FE-00102,2022,Bridge,Composite Steel-Concrete,Coastal California,Moderate,30,0.0493,Settlement,Minor,1883122.0,64701.0,0.0344,Emergency,1,17,1,0,1,0.0344,2225.7144,0.03435836870898434,0.05555555555555555,0.0493
FE-00103,2007,Bridge,Steel (A36),Coastal Carolina,Severe,41,0.1035,Corrosion,Moderate,305850.0,47463.0,0.1552,Routine inspection,0,0,0,0,2,0.3104,7366.2576,0.15518391368317802,2.0,0.207
FE-00104,2022,Bridge,Reinforced Concrete,Coastal Texas,Severe,62,0.0548,Fatigue crack,Major,1304024.0,503738.0,0.3863,Emergency,0,0,1,0,3,1.1589,194593.9894,0.38629503751464694,3.0,0.1644
FE-00105,2006,Bridge,Steel (A514 HY),Coastal Texas,Severe,52,0.0624,Fatigue crack,Major,221375.0,144075.0,0.6508,Public report,0,0,1,1,3,1.9524000000000001,93764.01000000001,0.6508187464709204,3.0,0.18719999999999998
FE-00106,2023,Building,Steel (A36),Urban West,Mild,57,0.0312,Creep,Minor,3865205.0,232964.0,0.0603,Load test,0,0,1,0,1,0.0603,14047.7292,0.06027209423562269,1.0,0.0312
FE-00107,2020,Pipeline,Steel (A514 HY),Urban West,Mild,80,0.0456,Fatigue crack,Minor,856935.0,39492.0,0.0461,Routine inspection,1,0,0,0,1,0.0461,1820.5812,0.04608517565509636,1.0,0.0456
FE-00108,2010,Pipeline,Reinforced Concrete,Urban West,Mild,56,0.0243,Corrosion,Moderate,393095.0,105990.0,0.2696,Sensor alert,0,0,1,0,2,0.5392,28574.904000000002,0.26962947887915134,2.0,0.0486
FE-00109,2023,Bridge,Prestressed Concrete,Urban Midwest,Moderate,23,0.0731,Fatigue crack,Moderate,751082.0,136436.0,0.1817,Sensor alert,0,0,1,0,2,0.3634,24790.4212,0.18165260251210918,2.0,0.1462
FE-00110,2016,Bridge,Steel (A514 HY),Urban Midwest,Moderate,54,0.0251,Fatigue crack,Minor,1151304.0,44001.0,0.0382,Sensor alert,0,0,1,0,1,0.0382,1680.8382,0.03821840278501595,1.0,0.0251
FE-00111,2019,Bridge,Cast Iron,Urban Northeast,Moderate,18,0.05,Brittle fracture,Catastrophic,2580160.0,1682470.0,0.6521,Public report,0,0,1,1,4,2.6084,1097138.687,0.6520797159866055,4.0,0.2
FE-00112,2007,Building,Composite Steel-Concrete,Coastal California,Moderate,55,0.0434,Brittle fracture,Minor,310107.0,14415.0,0.0465,Routine inspection,0,0,1,0,1,0.0465,670.2975,0.04648395553792723,1.0,0.0434
FE-00113,2015,Bridge,Prestressed Concrete,Urban West,Mild,29,0.0212,Fatigue crack,Minor,2761275.0,93096.0,0.0337,Routine inspection,1,11,0,0,1,0.0337,3137.3352,0.033714859983159956,0.08333333333333333,0.0212
FE-00114,2018,Bridge,Steel (A36),Pacific Northwest,Mild,22,0.0588,Corrosion,Major,2393289.0,1629279.0,0.6808,Public report,0,0,1,1,3,2.0423999999999998,1109213.1432,0.6807698527006141,3.0,0.1764
FE-00115,2020,Bridge,Reinforced Concrete,Rural South,Mild,43,0.0316,Overload,Moderate,8415730.0,1110372.0,0.1319,Load test,0,0,0,0,2,0.2638,146458.0668,0.13194006937009622,2.0,0.0632
FE-00116,2014,Building,Prestressed Concrete,Coastal Florida,Severe,59,0.0549,Buckling,Minor,2810990.0,159114.0,0.0566,Public report,0,0,0,0,1,0.0566,9005.8524,0.05660425686324035,1.0,0.0549
FE-00117,2016,Bridge,Prestressed Concrete,Urban Northeast,Moderate,28,0.0803,Overload,Moderate,1663864.0,379007.0,0.2278,Emergency,1,14,1,0,2,0.4556,86337.7946,0.2277872470346134,0.13333333333333333,0.1606
FE-00118,2011,Power Plant,Composite Steel-Concrete,Rural Midwest,Mild,57,0.0229,Brittle fracture,Major,2791208.0,1097434.0,0.3932,Emergency,0,0,1,1,3,1.1796,431511.0488,0.3931752846796083,3.0,0.0687
